ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Industry Group,CIP2,ID CIP2
"424M","Drugs, sundries, & chemical & allied products merchant  wholesalers ",2019,"2019","true","true",7669,2149.972151480911,144507.2369278915,33005.624242390375,0.0017815663520216213,377,"drugs-sundries-chemical-allied-products-merchant-wholesalers","Engineering","14"
"3162","Footwear manufacturing",2014,"2014","true","true",635,618.6722113797483,144495.88503937007,104918.75567829465,0.0001760726428586877,29,"footwear-manufacturing","Engineering","14"
"4247","Petroleum & petroleum products merchant wholesalers",2020,"2020","true","true",4143,1580.2512986823615,144197.24764663287,42380.563339670356,0.0009285065634185895,184,"petroleum-petroleum-products-merchant-wholesalers","Engineering","14"
"486","Pipeline transportation",2014,"2014","true","true",4058,1563.9552191302334,143910.28782651553,36624.987465926264,0.001125201235780401,199,"pipeline-transportation","Engineering","14"
"424M","Drugs, sundries, & chemical & allied products merchant  wholesalers ",2020,"2020","true","true",8884,2314.014194034213,143792.06393516433,29644.409550192773,0.00199103362525,387,"drugs-sundries-chemical-allied-products-merchant-wholesalers","Engineering","14"
"5112","Software publishing",2015,"2015","true","true",13558,2858.586413203675,143605.00885086297,20016.367364590304,0.003637120628037752,697,"software-publishing","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2014,"2014","true","true",2786,1295.8683274107814,143499.7968413496,53163.548433222255,0.0007725013905579589,131,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"52M1","Banking & related activities",2019,"2019","true","true",50689,5526.586444678101,143394.8663220817,13323.209272096417,0.011775435756633717,2403,"banking-related-activities","Engineering","14"
"486","Pipeline transportation",2015,"2015","true","true",4634,1671.265742571799,143238.26650841607,35535.185171743404,0.00124313445864633,218,"pipeline-transportation","Engineering","14"
"3254","Pharmaceutical & medicine manufacturing",2019,"2019","true","true",42187,5041.989656919871,142915.05359470926,12689.92393571651,0.009800357242500474,2052,"pharmaceutical-medicine-manufacturing","Engineering","14"
"2122","Metal ore mining",2018,"2018","true","true",3186,1385.7755174077142,142839.39987445073,43894.95736309244,0.0007665285423615287,163,"metal-ore-mining","Engineering","14"
"325M","Industrial & miscellaneous chemicals",2019,"2019","true","true",48629,5413.159321797006,142803.62797918936,11148.284249779232,0.011296882270499338,2452,"industrial-miscellaneous-chemicals","Engineering","14"
"325M","Industrial & miscellaneous chemicals",2020,"2020","true","true",49825,5479.304157079134,142446.50853988962,10718.261987242096,0.011166507246519726,2363,"industrial-miscellaneous-chemicals","Engineering","14"
"5112","Software publishing",2014,"2014","true","true",10527,2518.8963396336817,142257.4920680156,21671.518127805994,0.0029189239549187486,547,"software-publishing","Engineering","14"
"3341","Computer & peripheral equipment manufacturing",2016,"2016","true","true",33806,4513.563028841386,141005.08208602024,12274.551952468675,0.008780459931327173,1703,"computer-peripheral-equipment-manufacturing","Engineering","14"
"3254","Pharmaceutical & medicine manufacturing",2018,"2018","true","true",39866,4901.359082080073,140916.18080569908,13277.687288376579,0.009591471082794947,1930,"pharmaceutical-medicine-manufacturing","Engineering","14"
"4241","Paper & paper products merchant wholesalers",2019,"2019","true","true",974,766.2187985731871,140687.79671457905,113022.5541473125,0.00022626752208489492,48,"paper-paper-products-merchant-wholesalers","Engineering","14"
"334M2","Electronic component & product manufacturing, n.e.c. ",2017,"2017","true","true",133371,8961.965377371582,140585.54986466322,6368.419026344114,0.03331261041572637,6843,"electronic-component-product-manufacturing-nec","Engineering","14"
"454112","Electronic auctions",2017,"2017","true","true",997,775.2126071670798,140286.1444332999,62501.1915078204,0.00024902469490728263,48,"electronic-auctions","Engineering","14"
"325M","Industrial & miscellaneous chemicals",2018,"2018","true","true",46639,5301.26705417842,139752.913870366,10953.12079163962,0.011221005865410964,2312,"industrial-miscellaneous-chemicals","Engineering","14"
"454110","Electronic shopping and mail-order houses",2019,"2019","true","true",22088,3648.5510583555006,139726.8292285404,19405.84827174504,0.005131208447444722,962,"electronic-shopping-and-mail-order-houses","Engineering","14"
"2123","Nonmetallic mineral mining & quarrying",2020,"2020","true","true",2555,1240.984816422068,139601.44735812134,57282.46826223942,0.0005726126646233397,125,"nonmetallic-mineral-mining-quarrying","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2014,"2014","true","true",991,772.8763298512531,139597.07669021192,93901.95702237968,0.00027478423476056616,54,"miscellaneous-petroleum-coal-products","Engineering","14"
"454112","Electronic auctions",2016,"2016","true","true",1079,806.4618300209964,139212.79796107506,61629.98708648888,0.000280249549367036,47,"electronic-auctions","Engineering","14"
"334M1","Communications, & audio & video equipment manufacturing",2020,"2020","true","true",26747,4014.8850072889963,139167.98276442217,13550.922558549237,0.005994391757604879,1287,"communications-audio-video-equipment-manufacturing","Engineering","14"
"334M1","Communications, & audio & video equipment manufacturing",2018,"2018","true","true",27328,4058.2411530681043,139165.6230240047,12812.3076202948,0.006574919022490853,1385,"communications-audio-video-equipment-manufacturing","Engineering","14"
"522M","Nondepository credit & related activities",2017,"2017","true","true",24146,3814.703287002392,139027.4037521743,19656.80515330542,0.006031043413471661,1163,"nondepository-credit-related-activities","Engineering","14"
"52M1","Banking & related activities",2018,"2018","true","true",48447,5403.010482576349,138899.12578694243,13268.41104214685,0.011655997580599178,2283,"banking-related-activities","Engineering","14"
"3254","Pharmaceutical & medicine manufacturing",2020,"2020","true","true",44478,5177.0482905014105,138493.650096677,11826.2990484606,0.009968166769908767,2078,"pharmaceutical-medicine-manufacturing","Engineering","14"
